cik,company,form,date,filing_index_url
1286410,JP MORGAN ACCESS MULTI-STRATEGY FUND LLC,D/A,2024-01-26,https://www.sec.gov/Archives/edgar/data/1286410/000094366324000009/primary_doc.xml
1296474,REPROP FINANCIAL MORTGAGE INVESTORS LLC,D,2024-03-04,https://www.sec.gov/Archives/edgar/data/1296474/000129647424000001/primary_doc.xml
1296577,"Concise Short-Term High Yield Onshore Fund, LLC",D/A,2024-01-30,https://www.sec.gov/Archives/edgar/data/1296577/000129657724000002/primary_doc.xml
1297275,"Prime Property Fund, LLC",D/A,2024-01-31,https://www.sec.gov/Archives/edgar/data/1297275/000095010324001473/primary_doc.xml
1297684,Loomis Sayles Senior Floating Rate Fund LLC,D/A,2024-02-09,https://www.sec.gov/Archives/edgar/data/1297684/000129768424000002/primary_doc.xml
1308687,Hain Capital Investors LLC,D/A,2024-03-11,https://www.sec.gov/Archives/edgar/data/1308687/000130868724000001/primary_doc.xml
1309484,CMWA Micro Cap Fund LLC,D/A,2024-01-10,https://www.sec.gov/Archives/edgar/data/1309484/000130948424000001/primary_doc.xml
1309484,CMWA Micro Cap Fund LLC,D/A,2024-02-06,https://www.sec.gov/Archives/edgar/data/1309484/000130948424000002/primary_doc.xml
1309484,CMWA Micro Cap Fund LLC,D/A,2024-03-06,https://www.sec.gov/Archives/edgar/data/1309484/000201308024000004/primary_doc.xml
1310990,CMWA Small Cap Fund LLC,D/A,2024-02-06,https://www.sec.gov/Archives/edgar/data/1310990/000131099024000001/primary_doc.xml
1310990,CMWA Small Cap Fund LLC,D/A,2024-03-06,https://www.sec.gov/Archives/edgar/data/1310990/000201308024000003/primary_doc.xml
1312711,SOLOMON HESS SBA LOAN FUND LLC,D/A,2024-01-18,https://www.sec.gov/Archives/edgar/data/1312711/000131271124000001/primary_doc.xml
1315115,Caxton Global Investments USA LLC,D/A,2024-02-20,https://www.sec.gov/Archives/edgar/data/1315115/000131586324000293/primary_doc.xml
1318160,Nantucket Levered LLC,D/A,2024-02-13,https://www.sec.gov/Archives/edgar/data/1318160/000131816024000001/primary_doc.xml
1321086,CMWA Capital Appreciation Fund LLC,D/A,2024-01-10,https://www.sec.gov/Archives/edgar/data/1321086/000132108624000001/primary_doc.xml
1321086,CMWA Capital Appreciation Fund LLC,D/A,2024-02-06,https://www.sec.gov/Archives/edgar/data/1321086/000132108624000002/primary_doc.xml
1321086,CMWA Capital Appreciation Fund LLC,D/A,2024-03-12,https://www.sec.gov/Archives/edgar/data/1321086/000132108624000003/primary_doc.xml
1331342,Piedmont Stone Center PLLC,D,2024-01-11,https://www.sec.gov/Archives/edgar/data/1331342/000147450624000036/primary_doc.xml
1332181,Quantitative Global 3X Fund LLC,D/A,2024-02-27,https://www.sec.gov/Archives/edgar/data/1332181/000131586324000313/primary_doc.xml
1333112,Aspect US Fund LLC,D/A,2024-01-29,https://www.sec.gov/Archives/edgar/data/1333112/000131586324000088/primary_doc.xml
1334768,Noel Group LLC,D,2024-03-01,https://www.sec.gov/Archives/edgar/data/1334768/000133476824000004/primary_doc.xml
1336811,Mondrian All Countries World Ex US Equity Fund LP,D/A,2024-03-04,https://www.sec.gov/Archives/edgar/data/1336811/000139372524000056/primary_doc.xml
1339131,GENERATION IM GLOBAL EQUITY FUND LLC,D/A,2024-03-08,https://www.sec.gov/Archives/edgar/data/1339131/000094366324000071/primary_doc.xml
1341385,"Anderson Opportunity Capital, LLC",D/A,2024-03-26,https://www.sec.gov/Archives/edgar/data/1341385/000134138524000002/primary_doc.xml
1345875,"Public Markets, LLC",D/A,2024-02-06,https://www.sec.gov/Archives/edgar/data/1345875/000134587524000001/primary_doc.xml
1347701,MONDRIAN INTERNATIONAL SMALL CAP EQUITY FUND L P,D/A,2024-03-04,https://www.sec.gov/Archives/edgar/data/1347701/000139372524000076/primary_doc.xml
1357053,COMMONFUND INSTITUTIONAL MULTI-STRATEGY EQUITY FUND LLC,D/A,2024-03-13,https://www.sec.gov/Archives/edgar/data/1357053/000135705324000001/primary_doc.xml
1359239,Setanta: Non-US Equity LLC,D/A,2024-02-06,https://www.sec.gov/Archives/edgar/data/1359239/000191218324000009/primary_doc.xml
1363201,SASQUA FIELDS CAPITAL PARTNERS I LLC,D/A,2024-03-01,https://www.sec.gov/Archives/edgar/data/1363201/000136320124000001/primary_doc.xml
1369392,Thornburg International Equity Fund (Q.P.) LLC,D/A,2024-02-05,https://www.sec.gov/Archives/edgar/data/1369392/000114036124005664/primary_doc.xml
1370284,TWEEDY BROWNE GLOBAL HIGH DIVIDEND PARTNERS LLC,D/A,2024-01-17,https://www.sec.gov/Archives/edgar/data/1370284/000131586324000047/primary_doc.xml
1373702,PLUSCIOS FUND LLC,D/A,2024-02-23,https://www.sec.gov/Archives/edgar/data/1373702/000130646724000004/primary_doc.xml
1378637,MFS International Growth LLC,D/A,2024-01-24,https://www.sec.gov/Archives/edgar/data/1378637/000137863724000001/primary_doc.xml
1379678,PUTNAM INTERMEDIATE U.S. INVESTMENT GRADE FUND LLC,D/A,2024-03-05,https://www.sec.gov/Archives/edgar/data/1379678/000137967824000001/primary_doc.xml
1382795,Bandera Value Fund LLC,D,2024-01-08,https://www.sec.gov/Archives/edgar/data/1382795/000138279524000001/primary_doc.xml
1386294,Ionic Capital LLC,D/A,2024-03-14,https://www.sec.gov/Archives/edgar/data/1386294/000140951724000002/primary_doc.xml
1387807,SCOGGIN WORLDWIDE DISTRESSED FUND LLC,D/A,2024-02-12,https://www.sec.gov/Archives/edgar/data/1387807/000138780724000001/primary_doc.xml
1391880,JMG PARTNERS LLC,D/A,2024-02-27,https://www.sec.gov/Archives/edgar/data/1391880/000131586324000312/primary_doc.xml
1394249,"D. E. Shaw U.S. Large Cap Core Enhanced Fund, L.L.C.",D/A,2024-03-15,https://www.sec.gov/Archives/edgar/data/1394249/000139424924000001/primary_doc.xml
1394518,GlobeFlex International All Cap Commingled Trust a Ser of GlobeFlex Commingled TR,D/A,2024-01-31,https://www.sec.gov/Archives/edgar/data/1394518/000092505624000003/primary_doc.xml
1394620,"D. E. Shaw U.S. Broad Market Core Alpha Extension Fund, L.L.C.",D/A,2024-03-15,https://www.sec.gov/Archives/edgar/data/1394620/000139462024000001/primary_doc.xml
1396794,GMT Exploration Co LLC,D/A,2024-03-13,https://www.sec.gov/Archives/edgar/data/1396794/000139679424000002/primary_doc.xml
1396794,GMT Exploration Co LLC,D/A,2024-03-27,https://www.sec.gov/Archives/edgar/data/1396794/000139679424000003/primary_doc.xml
1396794,GMT Exploration Co LLC,D,2024-02-29,https://www.sec.gov/Archives/edgar/data/1396794/000139679424000001/primary_doc.xml
1400472,"Anderson ACB Partners, LLC",D/A,2024-03-26,https://www.sec.gov/Archives/edgar/data/1400472/000140047224000001/primary_doc.xml
1403972,Nineteen77 Global Multi-Strategy Alpha WM LLC,D/A,2024-03-01,https://www.sec.gov/Archives/edgar/data/1403972/000164306224000002/primary_doc.xml
1404203,Mill Creek Strategic Return LP,D/A,2024-03-22,https://www.sec.gov/Archives/edgar/data/1404203/000140420324000001/primary_doc.xml
1408858,ACADIAN INTERNATIONAL ALL CAP FUND,D/A,2024-01-05,https://www.sec.gov/Archives/edgar/data/1408858/000140885824000001/primary_doc.xml
1408860,ACADIAN ALL COUNTRY WORLD EX US FUND,D/A,2024-03-01,https://www.sec.gov/Archives/edgar/data/1408860/000140886024000001/primary_doc.xml
1408861,ACADIAN ALL COUNTRY WORLD EX US LONG-SHORT FUND,D/A,2024-01-05,https://www.sec.gov/Archives/edgar/data/1408861/000140886124000001/primary_doc.xml
1411751,Osage ArkMo Surgical Services LLC,D,2024-01-12,https://www.sec.gov/Archives/edgar/data/1411751/000141175124000001/primary_doc.xml
1412713,Commonfund Multi-Strategy Equity Investors LLC,D/A,2024-01-23,https://www.sec.gov/Archives/edgar/data/1412713/000141271324000001/primary_doc.xml
1415522,Global Access Portfolios LLC,D/A,2024-03-29,https://www.sec.gov/Archives/edgar/data/1415522/000141552224000001/primary_doc.xml
1415710,IR&M Core Bond Fund LLC,D/A,2024-02-16,https://www.sec.gov/Archives/edgar/data/1415710/000141571024000002/primary_doc.xml
1416104,Seamans Global Opportunities Fund LLC,D/A,2024-01-31,https://www.sec.gov/Archives/edgar/data/1416104/000141610424000001/primary_doc.xml
1416134,Seamans Global Income Preferred 6 Fund LLC,D/A,2024-01-31,https://www.sec.gov/Archives/edgar/data/1416134/000141613424000001/primary_doc.xml
1416821,Value Partners Asia Fund LLC,D,2024-03-05,https://www.sec.gov/Archives/edgar/data/1416821/000141682124000001/primary_doc.xml
1420548,VIP GP LLC,D/A,2024-03-08,https://www.sec.gov/Archives/edgar/data/1420548/000090266424002287/primary_doc.xml
1420713,SCOTT MACON ASSET MANAGEMENT FUND LLC,D/A,2024-02-23,https://www.sec.gov/Archives/edgar/data/1420713/000142071324000001/primary_doc.xml
1422149,FIFTH AVENUE VALUE CREATION FUND LLC,D/A,2024-01-05,https://www.sec.gov/Archives/edgar/data/1422149/000091957424000101/primary_doc.xml
1424288,AFFINITY BIOSENSORS LLC,D/A,2024-03-22,https://www.sec.gov/Archives/edgar/data/1424288/000142428824000001/primary_doc.xml
1428452,STRATUS FEEDER LLC,D/A,2024-03-15,https://www.sec.gov/Archives/edgar/data/1428452/000094366324000085/primary_doc.xml
1430090,"Jacobs Levy 130-30 Core 3 Fund, LLC",D/A,2024-03-15,https://www.sec.gov/Archives/edgar/data/1430090/000091957424002058/primary_doc.xml
1431907,VERIS GLOBAL SUSTAINABILITY FUND LLC,D/A,2024-02-07,https://www.sec.gov/Archives/edgar/data/1431907/000143190724000002/primary_doc.xml
1432362,LIGHTHOUSE STRATEGIES FUND LLC - LIGHTHOUSE HEALTHCARE SERIES,D/A,2024-02-14,https://www.sec.gov/Archives/edgar/data/1432362/000143236224000003/primary_doc.xml
1432883,"SIMON QUICK CHAPIN FUND, LLC",D/A,2024-03-05,https://www.sec.gov/Archives/edgar/data/1432883/000143288324000001/primary_doc.xml
1439467,SILVERBACK OPPORTUNISTIC CREDIT FUND LLC,D/A,2024-03-13,https://www.sec.gov/Archives/edgar/data/1439467/000091957424002006/primary_doc.xml
1439657,ELEMENT CAPITAL US FEEDER FUND LLC,D/A,2024-01-26,https://www.sec.gov/Archives/edgar/data/1439657/000091957424000514/primary_doc.xml
1451844,"GCA CREDIT OPPORTUNITIES FUND, LLC",D/A,2024-01-19,https://www.sec.gov/Archives/edgar/data/1451844/000091957424000440/primary_doc.xml
1453364,PAM GLOBAL DIVERSIFIED FUND LLC,D/A,2024-01-22,https://www.sec.gov/Archives/edgar/data/1453364/000145336424000002/primary_doc.xml
1453364,PAM GLOBAL DIVERSIFIED FUND LLC,D/A,2024-01-22,https://www.sec.gov/Archives/edgar/data/1453364/000145336424000003/primary_doc.xml
1453364,PAM GLOBAL DIVERSIFIED FUND LLC,D,2024-01-24,https://www.sec.gov/Archives/edgar/data/1453364/000145336424000006/primary_doc.xml
1453558,NEW VISTA PARTNERS LLC,D,2024-03-08,https://www.sec.gov/Archives/edgar/data/1453558/000145355824000002/primary_doc.xml
1453669,"D. E. Shaw World Alpha Extension Fund, L.L.C.",D/A,2024-03-15,https://www.sec.gov/Archives/edgar/data/1453669/000145366924000001/primary_doc.xml
1453715,"PROPRIETARY CAPITAL MACRO SERIES FUND, LLC",D/A,2024-02-23,https://www.sec.gov/Archives/edgar/data/1453715/000145371524000001/primary_doc.xml
1455514,Sculptor DP II Private Investors LLC,D/A,2024-02-01,https://www.sec.gov/Archives/edgar/data/1455514/000145551424000001/primary_doc.xml
1458114,CAVALLINO FUND LLC,D/A,2024-01-09,https://www.sec.gov/Archives/edgar/data/1458114/000145811424000001/primary_doc.xml
1458792,VERITION MULTI-STRATEGY FUND LLC,D/A,2024-03-13,https://www.sec.gov/Archives/edgar/data/1458792/000166908524000002/primary_doc.xml
1459296,FRANKLIN STREET PARTNERS MANAGER OF MANAGERS LLC II,D/A,2024-02-20,https://www.sec.gov/Archives/edgar/data/1459296/000145929624000001/primary_doc.xml
1459297,FRANKLIN STREET PARTNERS MANAGER OF MANAGERS LLC I,D/A,2024-02-20,https://www.sec.gov/Archives/edgar/data/1459297/000145929724000001/primary_doc.xml
1459598,14B Parsec Fund LLC,D/A,2024-03-01,https://www.sec.gov/Archives/edgar/data/1459598/000090266424002121/primary_doc.xml
1459680,TWEEDY BROWNE INTERNATIONAL PARTNERS LLC,D/A,2024-01-17,https://www.sec.gov/Archives/edgar/data/1459680/000131586324000048/primary_doc.xml
1459792,"PUTNAM TOTAL RETURN U.S. INVESTMENT GRADE FIXED INCOME, LLC",D/A,2024-03-05,https://www.sec.gov/Archives/edgar/data/1459792/000145979224000001/primary_doc.xml
1459795,VANDERBILT PARTNERS LLC,D/A,2024-01-17,https://www.sec.gov/Archives/edgar/data/1459795/000131586324000049/primary_doc.xml
1459798,TBK PARTNERS LLC,D/A,2024-01-17,https://www.sec.gov/Archives/edgar/data/1459798/000131586324000046/primary_doc.xml
1460512,Quantitative Tactical Aggressive Fund LLC,D/A,2024-02-27,https://www.sec.gov/Archives/edgar/data/1460512/000131586324000315/primary_doc.xml
1461055,GARDENIA RELATIVE VALUE FUND LLC,D/A,2024-03-13,https://www.sec.gov/Archives/edgar/data/1461055/000146105524000001/primary_doc.xml
1461077,"ROYCE INSTITUTIONAL, LLC - OPPORTUNITY PORTFOLIO",D/A,2024-03-13,https://www.sec.gov/Archives/edgar/data/1461077/000146107724000001/primary_doc.xml
1461219,GRAHAM ALTERNATIVE INVESTMENT FUND I LLC,D,2024-03-28,https://www.sec.gov/Archives/edgar/data/1461219/000146121924000001/primary_doc.xml
1461237,GRAHAM ALTERNATIVE INVESTMENT FUND II LLC,D,2024-03-28,https://www.sec.gov/Archives/edgar/data/1461237/000146123724000001/primary_doc.xml
1462567,"PCS Real Return Institutional Fund, LLC",D,2024-01-24,https://www.sec.gov/Archives/edgar/data/1462567/000146256724000001/primary_doc.xml
1462880,"NBSH Acquisition, LLC",D/A,2024-03-21,https://www.sec.gov/Archives/edgar/data/1462880/000101297524000147/primary_doc.xml
1464279,"D. E. Shaw Multi-Asset Fund, L.L.C.",D/A,2024-03-15,https://www.sec.gov/Archives/edgar/data/1464279/000146427924000001/primary_doc.xml
1464987,"Multi-Manager Master Portfolio, LLC",D/A,2024-01-08,https://www.sec.gov/Archives/edgar/data/1464987/000146498724000001/primary_doc.xml
1464988,"Multi-Manager Portfolio, LLC",D/A,2024-01-08,https://www.sec.gov/Archives/edgar/data/1464988/000146498824000001/primary_doc.xml
1468169,"Crystal Capital Fund Series, LLC",D,2024-03-27,https://www.sec.gov/Archives/edgar/data/1468169/000146816924000001/primary_doc.xml
1468170,"Crystal Capital Master Fund, LLC",D,2024-03-27,https://www.sec.gov/Archives/edgar/data/1468170/000146816924000003/primary_doc.xml
1469649,MIGSIF LLC,D/A,2024-02-02,https://www.sec.gov/Archives/edgar/data/1469649/000146964924000001/primary_doc.xml
1469757,Welton Capital Markets Fund LLC - Series G,D/A,2024-02-23,https://www.sec.gov/Archives/edgar/data/1469757/000091957424001667/primary_doc.xml
1471349,"RGL Partners, LLC",D,2024-03-26,https://www.sec.gov/Archives/edgar/data/1471349/000147134924000001/primary_doc.xml
1473700,"P.A.W. SMALL CAP PARTNERS, L.P.",D/A,2024-02-21,https://www.sec.gov/Archives/edgar/data/1473700/000091957424001608/primary_doc.xml
1475397,"Independent Return, LLC",D/A,2024-01-12,https://www.sec.gov/Archives/edgar/data/1475397/000147539724000002/primary_doc.xml
1475397,"Independent Return, LLC",D/A,2024-01-12,https://www.sec.gov/Archives/edgar/data/1475397/000150390624000003/primary_doc.xml
1475475,"D. E. Shaw U.S. Large Cap Core Enhanced Special Fund (MA), L.L.C.",D/A,2024-03-15,https://www.sec.gov/Archives/edgar/data/1475475/000147547524000001/primary_doc.xml
1479577,"HIG Holdings, LLC",D,2024-01-17,https://www.sec.gov/Archives/edgar/data/1479577/000147957724000001/primary_doc.xml
1479577,"HIG Holdings, LLC",D,2024-02-01,https://www.sec.gov/Archives/edgar/data/1479577/000147957724000002/primary_doc.xml
1479577,"HIG Holdings, LLC",D,2024-02-09,https://www.sec.gov/Archives/edgar/data/1479577/000147957724000003/primary_doc.xml
1479577,"HIG Holdings, LLC",D,2024-03-13,https://www.sec.gov/Archives/edgar/data/1479577/000147957724000004/primary_doc.xml
1479577,"HIG Holdings, LLC",D,2024-03-26,https://www.sec.gov/Archives/edgar/data/1479577/000147957724000005/primary_doc.xml
1481933,"C4 Imaging, LLC",D,2024-03-01,https://www.sec.gov/Archives/edgar/data/1481933/000148193324000003/primary_doc.xml
1483434,MILLENNIUM SMC LLC,D/A,2024-02-02,https://www.sec.gov/Archives/edgar/data/1483434/000090266424000933/primary_doc.xml
1483673,"A Plus Fund, L.L.C.",D/A,2024-02-13,https://www.sec.gov/Archives/edgar/data/1483673/000110465924019652/primary_doc.xml
1483884,Gallatin Trading LLC,D/A,2024-02-01,https://www.sec.gov/Archives/edgar/data/1483884/000148388424000001/primary_doc.xml
1486235,IR&M Intermediate Fund LLC,D/A,2024-02-16,https://www.sec.gov/Archives/edgar/data/1486235/000148623524000002/primary_doc.xml
1486236,IR&M Core Bond Fund II LLC,D/A,2024-02-16,https://www.sec.gov/Archives/edgar/data/1486236/000148623624000002/primary_doc.xml
1486967,"Mill Creek Strategic Return International, Ltd.",D/A,2024-03-22,https://www.sec.gov/Archives/edgar/data/1486967/000148696724000001/primary_doc.xml
1488431,TRC Optimum Fund LLC,D/A,2024-03-20,https://www.sec.gov/Archives/edgar/data/1488431/000148843124000003/primary_doc.xml
1488689,Alston Value Fund LLC,D,2024-01-09,https://www.sec.gov/Archives/edgar/data/1488689/000148868924000001/primary_doc.xml
1489569,"IRONGATE GLOBAL ALPHA FUND, LLC",D/A,2024-01-25,https://www.sec.gov/Archives/edgar/data/1489569/000110465924006346/primary_doc.xml
1489969,Sculptor Access LLC,D/A,2024-03-29,https://www.sec.gov/Archives/edgar/data/1489969/000148996924000001/primary_doc.xml
1491481,Solomon Hess Opportunity Fund LLC,D/A,2024-01-17,https://www.sec.gov/Archives/edgar/data/1491481/000149148124000001/primary_doc.xml
1497587,"Putnam Cash Collateral Pool, LLC",D/A,2024-03-05,https://www.sec.gov/Archives/edgar/data/1497587/000149758724000001/primary_doc.xml
1498594,"D. E. Shaw Composite Graphite Fund, L.L.C.",D/A,2024-03-15,https://www.sec.gov/Archives/edgar/data/1498594/000113782724000004/primary_doc.xml
1501168,Lynx Real Asset & Water Fund LLC,D/A,2024-02-22,https://www.sec.gov/Archives/edgar/data/1501168/000150116824000002/primary_doc.xml
1501400,"PGIM Fixed Income U.S. Liquidity Relative Value Fund I, LLC",D/A,2024-01-19,https://www.sec.gov/Archives/edgar/data/1501400/000090266424000347/primary_doc.xml
1507423,"Swiss Select Global Equity Fund US, LLC",D/A,2024-03-04,https://www.sec.gov/Archives/edgar/data/1507423/000150742324000001/primary_doc.xml
1508589,"Mountain Laurel Spirits, LLC",D,2024-02-08,https://www.sec.gov/Archives/edgar/data/1508589/000150858924000001/primary_doc.xml
1510311,Monolith Select Strategies Power Fund LLC,D,2024-03-05,https://www.sec.gov/Archives/edgar/data/1510311/000151031124000002/primary_doc.xml
1510686,"NRMA, LLC",D/A,2024-01-09,https://www.sec.gov/Archives/edgar/data/1510686/000091957424000197/primary_doc.xml
1511026,Gold Bullion International LLC,D/A,2024-01-30,https://www.sec.gov/Archives/edgar/data/1511026/000151102624000001/primary_doc.xml
1511754,ivWatch LLC,D/A,2024-01-09,https://www.sec.gov/Archives/edgar/data/1511754/000151175424000001/primary_doc.xml
1511754,ivWatch LLC,D,2024-01-26,https://www.sec.gov/Archives/edgar/data/1511754/000151175424000002/primary_doc.xml
1512008,FX Strategy LLC,D/A,2024-02-28,https://www.sec.gov/Archives/edgar/data/1512008/000151200824000001/primary_doc.xml
1512046,Carolina Securitized Credit Opportunities LLC,D/A,2024-01-19,https://www.sec.gov/Archives/edgar/data/1512046/000094562124000080/primary_doc.xml
1512695,Global Strategy LLC,D/A,2024-02-28,https://www.sec.gov/Archives/edgar/data/1512695/000151269524000001/primary_doc.xml
1512705,"Bernstein Alternative Investment Strategies, LLC",D/A,2024-02-09,https://www.sec.gov/Archives/edgar/data/1512705/000090266424001306/primary_doc.xml
1513370,"ICG Access Fund, LLC",D/A,2024-01-17,https://www.sec.gov/Archives/edgar/data/1513370/000151337024000003/primary_doc.xml
1513370,"ICG Access Fund, LLC",D,2024-01-17,https://www.sec.gov/Archives/edgar/data/1513370/000151337024000001/primary_doc.xml
1515342,"Asia Hedged Opportunity Fund, LLC",D/A,2024-03-12,https://www.sec.gov/Archives/edgar/data/1515342/000151534224000001/primary_doc.xml
1518056,"D. E. Shaw U.S. Large Cap Core Alpha Extension Fund, L.L.C.",D/A,2024-03-15,https://www.sec.gov/Archives/edgar/data/1518056/000139424924000002/primary_doc.xml
1520962,DIXON MIDLAND LONG-SHORT EQUITY LLC,D/A,2024-01-03,https://www.sec.gov/Archives/edgar/data/1520962/000152096224000001/primary_doc.xml
1521378,IR&M Short Fund LLC,D/A,2024-02-16,https://www.sec.gov/Archives/edgar/data/1521378/000152137824000002/primary_doc.xml
1521865,"BAC-MP Absolute Return Fund, LLC",D/A,2024-03-15,https://www.sec.gov/Archives/edgar/data/1521865/000152186524000001/primary_doc.xml
1522454,"Lighthouse Asian Compass Series, A Series of Lighthouse Strategies Fund, LLC",D/A,2024-02-14,https://www.sec.gov/Archives/edgar/data/1522454/000152245424000002/primary_doc.xml
1524453,Alston Long-Term Opportunities Fund LLC,D,2024-01-09,https://www.sec.gov/Archives/edgar/data/1524453/000152445324000001/primary_doc.xml
1525128,"Lazard International Discounted Assets Portfolio, a series of Lazard Discounted Assets Funds, LLC",D/A,2024-01-09,https://www.sec.gov/Archives/edgar/data/1525128/000152512824000001/primary_doc.xml
1526159,MFS International Research Equity LLC,D/A,2024-01-24,https://www.sec.gov/Archives/edgar/data/1526159/000152615924000001/primary_doc.xml
1526927,"GOOD EARTH MINERALS, LLC",D,2024-03-28,https://www.sec.gov/Archives/edgar/data/1526927/000106594924000031/primary_doc.xml
1527399,"WGI Emerging Markets Fund, LLC.",D/A,2024-03-01,https://www.sec.gov/Archives/edgar/data/1527399/000152739924000001/primary_doc.xml
1527746,"AGP STRATEGIC INCOME, LLC",D/A,2024-03-26,https://www.sec.gov/Archives/edgar/data/1527746/000152774624000001/primary_doc.xml
1527792,"Rockefeller U.S. Small Cap ESG Fund, L.P.",D/A,2024-02-09,https://www.sec.gov/Archives/edgar/data/1527792/000094562124000211/primary_doc.xml
1530828,MFS Global Equity LLC,D/A,2024-01-24,https://www.sec.gov/Archives/edgar/data/1530828/000153082824000001/primary_doc.xml
1531549,"Institutional Multiple Investment Fund, LLC-Institutional Multi-Sector Fixed Income Portfolio",D/A,2024-01-19,https://www.sec.gov/Archives/edgar/data/1531549/000094562124000078/primary_doc.xml
1532702,SOUTHSTAR CAPITAL LLC,D/A,2024-01-18,https://www.sec.gov/Archives/edgar/data/1532702/000153270224000001/primary_doc.xml
